feature,importance,importance_type
cc_amt_drawings_pos_current_var,5.0,feature_importances_
weekday_appr_process_start_monday,5.0,feature_importances_
approved_sk_id_prev_nunique,5.0,feature_importances_
refused_amt_down_payment_mean,5.0,feature_importances_
refused_amt_down_payment_max,5.0,feature_importances_
cc_cnt_instalment_mature_cum_sum,5.0,feature_importances_
cc_cnt_drawings_pos_current_min,5.0,feature_importances_
cc_amt_recivable_var,5.0,feature_importances_
prev_name_payment_type_non_cash_from_your_account_mean,5.0,feature_importances_
cc_amt_inst_min_regularity_sum,4.0,feature_importances_
cc_amt_recivable_max,4.0,feature_importances_
flag_document_16,4.0,feature_importances_
prev_name_cash_loan_purpose_xap_mean,4.0,feature_importances_
cc_amt_payment_current_min,4.0,feature_importances_
cc_amt_total_receivable_max,4.0,feature_importances_
refused_sk_id_prev_nunique,4.0,feature_importances_
organization_type_security_ministries,4.0,feature_importances_
cc_months_balance_max,4.0,feature_importances_
buro_months_balance_max_max,4.0,feature_importances_
cc_amt_total_receivable_var,4.0,feature_importances_
active_amt_credit_sum_overdue_mean,4.0,feature_importances_
buro_status_2_mean_mean,4.0,feature_importances_
cc_amt_drawings_other_current_var,4.0,feature_importances_
cc_amt_credit_limit_actual_max,4.0,feature_importances_
floorsmin_medi,4.0,feature_importances_
cc_name_contract_status_sent_proposal_var,4.0,feature_importances_
prev_product_combination_pos_other_with_interest_mean,4.0,feature_importances_
flag_phone,4.0,feature_importances_
pos_name_contract_status_approved_mean,4.0,feature_importances_
wallsmaterial_mode_stone_brick,3.0,feature_importances_
approved_count,3.0,feature_importances_
cc_cnt_drawings_pos_current_sum,3.0,feature_importances_
prev_sk_id_prev_nunique,3.0,feature_importances_
cc_sk_dpd_mean,3.0,feature_importances_
cc_name_contract_status_active_var,3.0,feature_importances_
closed_amt_credit_sum_debt_max,3.0,feature_importances_
occupation_type_low_skill_laborers,3.0,feature_importances_
wallsmaterial_mode_panel,3.0,feature_importances_
prev_count,3.0,feature_importances_
cc_name_contract_status_completed_mean,3.0,feature_importances_
cc_cnt_drawings_atm_current_max,3.0,feature_importances_
closed_months_balance_max_max,3.0,feature_importances_
elevators_mode,3.0,feature_importances_
buro_status_3_mean_mean,3.0,feature_importances_
entrances_medi,3.0,feature_importances_
prev_name_contract_status_unused_offer_mean,3.0,feature_importances_
flag_document_8,3.0,feature_importances_
cc_amt_balance_sum,3.0,feature_importances_
name_income_type_commercial_associate,3.0,feature_importances_
prev_name_goods_category_medical_supplies_mean,3.0,feature_importances_
cc_amt_drawings_atm_current_max,3.0,feature_importances_
name_housing_type_house_apartment,3.0,feature_importances_
cc_months_balance_var,3.0,feature_importances_
weekday_appr_process_start_saturday,3.0,feature_importances_
cc_amt_inst_min_regularity_max,2.0,feature_importances_
cc_sk_dpd_var,2.0,feature_importances_
cc_amt_recivable_sum,2.0,feature_importances_
cc_amt_total_receivable_min,2.0,feature_importances_
cc_amt_receivable_principal_min,2.0,feature_importances_
prev_name_cash_loan_purpose_other_mean,2.0,feature_importances_
active_cnt_credit_prolong_sum,2.0,feature_importances_
active_months_balance_max_max,2.0,feature_importances_
cc_amt_total_receivable_sum,2.0,feature_importances_
weekday_appr_process_start_tuesday,2.0,feature_importances_
name_family_status_separated,2.0,feature_importances_
weekday_appr_process_start_thursday,2.0,feature_importances_
name_housing_type_office_apartment,2.0,feature_importances_
live_region_not_work_region,2.0,feature_importances_
cc_months_balance_min,2.0,feature_importances_
cc_amt_drawings_other_current_sum,2.0,feature_importances_
prev_name_goods_category_auto_accessories_mean,2.0,feature_importances_
prev_name_type_suite_other_a_mean,2.0,feature_importances_
occupation_type_managers,2.0,feature_importances_
name_type_suite_family,2.0,feature_importances_
refused_count,2.0,feature_importances_
prev_product_combination_pos_mobile_without_interest_mean,2.0,feature_importances_
name_type_suite_unaccompanied,2.0,feature_importances_
occupation_type_high_skill_tech_staff,2.0,feature_importances_
organization_type_other,2.0,feature_importances_
cc_name_contract_status_signed_var,1.0,feature_importances_
occupation_type_nan,1.0,feature_importances_
organization_type_transport_type_4,1.0,feature_importances_
refused_rate_down_payment_min,1.0,feature_importances_
weekday_appr_process_start_wednesday,1.0,feature_importances_
name_type_suite_other_b,1.0,feature_importances_
name_type_suite_spouse_partner,1.0,feature_importances_
name_education_type_incomplete_higher,1.0,feature_importances_
organization_type_bank,1.0,feature_importances_
reg_region_not_work_region,1.0,feature_importances_
organization_type_government,1.0,feature_importances_
refused_amt_down_payment_min,1.0,feature_importances_
occupation_type_medicine_staff,1.0,feature_importances_
organization_type_trade_type_2,1.0,feature_importances_
cnt_children,1.0,feature_importances_
name_family_status_civil_marriage,1.0,feature_importances_
prev_name_seller_industry_auto_technology_mean,1.0,feature_importances_
cc_amt_payment_total_current_min,1.0,feature_importances_
cc_amt_receivable_principal_max,1.0,feature_importances_
cc_amt_receivable_principal_sum,1.0,feature_importances_
buro_status_5_mean_mean,1.0,feature_importances_
active_credit_day_overdue_max,1.0,feature_importances_
prev_name_cash_loan_purpose_urgent_needs_mean,1.0,feature_importances_
cc_cnt_drawings_other_current_sum,1.0,feature_importances_
cc_sk_dpd_sum,1.0,feature_importances_
cc_sk_dpd_max,1.0,feature_importances_
cc_sk_dpd_def_sum,1.0,feature_importances_
cc_sk_dpd_def_max,1.0,feature_importances_
closed_amt_credit_sum_limit_sum,1.0,feature_importances_
days_employed_anom,1.0,feature_importances_
elevators_medi,1.0,feature_importances_
emergencystate_mode_no,1.0,feature_importances_
cc_cnt_drawings_other_current_var,1.0,feature_importances_
cc_name_contract_status_active_mean,1.0,feature_importances_
cc_sk_dpd_def_var,1.0,feature_importances_
prev_code_reject_reason_xna_mean,1.0,feature_importances_
prev_name_type_suite_other_b_mean,1.0,feature_importances_
cc_amt_drawings_pos_current_min,1.0,feature_importances_
prev_name_goods_category_gardening_mean,1.0,feature_importances_
prev_name_goods_category_jewelry_mean,1.0,feature_importances_
prev_name_goods_category_direct_sales_mean,1.0,feature_importances_
flag_own_realty,1.0,feature_importances_
prev_name_goods_category_homewares_mean,1.0,feature_importances_
prev_name_goods_category_sport_and_leisure_mean,1.0,feature_importances_
housetype_mode_block_of_flats,1.0,feature_importances_
name_housing_type_rented_apartment,1.0,feature_importances_
